0,1,2,3,4,5,6
,CONCEPTO,,,,UMA X M2,
Urbano,,Residencial,,0.20,,
,,Popular,,0.15,,
,,Urbanización progresiva,,0.06,,
,,Institucional,,0.00,,
Campestre,,Residencial,,0.20,,
,,Rústico,,0.07,,
Industrial,,Ligera,,0.16,,
,,Mediana,,0.21,,
,,Pesada,,0.25,,
Comercial,,,,0.20,,
Educación,,,,0.15,,
Otros no especificados,,,,0.15,,
