0,1,2,3,4,5
,CONCEPTO,,,UMA,
Para microindustria,,,10.00,,
Para industria ligera,,,20.00,,
Para industria mediana,,,40.00,,
Para industria pesada,,,60.00,,
"Comercial A (Vivienda hasta 2 unidades; Vivienda unifamiliar con local comercial; Comercial
Básico, hasta 500 M2 de terreno: Servicios, hasta 500 M2 de terreno)",,,7.00,,
"Comercial B (Viviendas de 3 hasta 39 unidades; Comercial. Superficie de terreno mayor de
500 M2 y hasta 19,999 M2; Servicios. Superficie de terreno mayor a 500 M2 y hasta 19,999
M2; Estacionamientos públicos y privados; Servicios Educativos hasta nivel medio superior;
Servicios automotrices de cualquier índole)",,,25.00,,
"Comercio C (Viviendas. Más de 40 unidades; Comercial. Superficie de terreno mayor a 20,000
M2; Servicios con Superficie de terreno mayor a 20,000 M2; Comercial o servicios que
contemple venta o consumo de bebidas alcohólicas, explosivos, armas; Servicios educativos",,,50.00,,
