0,1,2,3,4,5
,UNIDADES,,,UMA,
De 2 a 3,,,2.00,,
De 4 a 6,,,4.00,,
De 7 a 10,,,7.50,,
De 11 a 15,,,10.00,,
De 16 a 30,,,12.50,,
De 31 a 45,,,15.00,,
De 46 a 60,,,17.50,,
De 61 a 75,,,20.00,,
De 76 a 90,,,22.50,,
De 91 o más,,,25.00,,
