0,1,2
TIPO,USO/TIPO,UMA
,,
Urbano,De 51 a 100 metros lineales,2.50 a 5.00
,De 101 a 200 metros lineales,5.00 a 10.00
,De 201 a 500 metros lineales,10.00 a 15.00
,Más de 501 metros lineales,15.00 a 20.00
