0,1,2
TIPO,USO/TIPO,UMA
Urbano,Residencial,6.00
,Habitacional popular,4.00
,De urbanización progresiva,4.00
,Institucionales,0.00
Campestre,Residencial,6.00
,Rústico,3.00
Industrial,Para industria ligera,12.00
,Para industria mediana,12.00
,Para industria pesada o grande,12.00
Comercial,Tipo A,6.00
,Tipo B,10.00
,Tipo C,12.00
"Radio base celular o sistema de
transmisión de radiofrecuencia
(cualquier tipo)","Por instalación de cualquier tipo de antena
de telefonía comercial más el costo por
metro cuadrado que se señala en la tabla
para comercial aplicado en las
instalaciones complementarias",12.00
Cementerios,,12.00
Otros no especificados,,10.00
