0,1,2,3,4,5,6
OPINIONES TÉCNICAS,,,CONSTRUCCIÓN,,UMA,
"Establecimientos
comerciales",,1 a 50 M2,,,2.00,
,,51 a 100 M2,,,5.00,
,,101 a 200 M2,,,10.00,
,,201 a 500 M2,,,20.00,
,,501 M2 en adelante,,,40.00,
"Relacionadas con el suelo
y construcciones",,Desarrollos Inmobiliarios,,,100.00,
,,Ratificación o modificación al Uso de Suelo de 1 M2 a 200 M2,,,5.00,
,,"Ratificación o modificación al Uso de Suelo de 201 M2 a 1,000
M2",,,10.00,
,,"Ratificación o modificación al Uso de Suelo por más de 1,001 M2",,,20.00,
,,Cambio de Densidad Poblacional,,,5.00,
Por instalación de antenas de telecomunicación,,,,,200.00,
"Por el refrendo anual, respecto a su grado de riesgo, para la instalación de antenas de
telecomunicación",,,,,50.00,
Por instalación de anuncios espectaculares,,,,,60.00,
"Por el refrendo anual, respecto a su grado de riesgo para la instalación de anuncios
espectaculares",,,,,30.00,
"Otros, determinados de acuerdo al tipo de riesgo, características y condiciones de la autoridad competente,
de 2 a 200 UMA.",,,,,,
