0,1,2,3,4,5
,CONCEPTO,,,UMA,
"Fotocopia simple tamaño carta o digitalización, por
cada hoja",,,0.01,,
"Fotocopia simple tamaño oficio o digitalización, por
cada hoja",,,0.015,,
"Por proporcionar disco compacto cd, por cada
disco",,,0.12,,
