0,1,2,3,4,5,6
CONCEPTO,,,UMA,,,
,,"0 HASTA 1.99
HAS.",,"2 HASTA 4.99
HAS.","5 HASTA 9.99
HAS.","DE 10 O MÁS
HAS."
Urbano,Residencial,36.00,,48.00,60.00,72.00
,Popular,24.00,,36.00,48.00,60.00
,"Urbanización
progresiva",18.00,,24.00,30.00,36.00
,Institucional,0.00,,0.00,0.00,0.00
Campestre,Residencial campestre,36.00,,48.00,70.00,72.00
,Rústico campestre,24.00,,36.00,48.00,60.00
Industrial,Micro industria,42.00,,48.00,54.00,60.00
,Ligera,48.00,,54.00,60.00,66.00
,Mediana,54.00,,60.00,66.00,72.00
,Pesada,60.00,,66.00,72.00,78.00
Comercial,,66.00,,72.00,78.00,84.00
Cementerios,,18.00,,24.00,30.00,36.00
