0,1,2,3,4,5
,CONCEPTO,,,UMA,
Obtención de bases por adjudicación directa,,,1.00 a 20.00,,
Obtención de bases por invitación restringida,,,15.00 a 40.00,,
Obtención de bases por Licitación Pública,,,15.00 a 50.00,,
