0,1,2,3,4,5
,CONCEPTO,,,UMA,
Multa por omisión de Inscripción en el Padrón Catastral,,,1.00,,
"Multa por autorizar los notarios en forma definitiva instrumentos públicos sin cumplir con la obtención
de la respectiva constancia de no adeudo del Impuesto y, en su caso, el recibo de pago por el último
bimestre si el acto se realiza dentro del plazo del pago",,,1.00,,
"Multa por la omisión de formulación de avisos de transmisión de propiedad, posesión o cambio de
domicilio",,,1.00,,
"Multa por la formulación extemporánea de avisos de transmisión de propiedad, posesión",,,1.00,,
Multa por la falta de declaración de cambio de valor del predio,,,1.00,,
Multa por el incumplimiento al requerimiento de la autoridad,,,3.00,,
Multa cuando no se cubra el pago del Impuesto en los periodos señalados,,,1.00,,
"Multa cuando se declare en forma dolosa una cantidad menor al valor real del predio, evadiendo el
pago correcto del Impuesto",,,1.00,,
Multas de Seguridad Pública,,,1.00 a 200.00,,
"Resoluciones que emita el Órgano Interno de Control dentro de los procedimientos administrativos de
responsabilidad de su competencia",,,1.00 a 2000,,
Infracciones cometidas al artículo 289 de la Código Ambiental del Estado de Querétaro.,,,1.00 a 2000,,
"Infracciones cometidas a los ordenamientos ambientales vigentes, causarán y pagarán, en los términos
que así disponga la autoridad ambiental municipal",,,1.00 a 2000,,
"Infracciones cometidas a los ordenamientos vigentes en materia de protección civil, causarán y
pagarán en los términos que disponga la autoridad en dicha materia",,,1.00 a 2000,,
"Infracciones cometidas a los ordenamientos vigentes en materia de mercados, uso de la vía pública y
servicios públicos municipales, causarán y pagarán en los términos que disponga la autoridad en dicha
materia",,,1.00 a 2000,,
"Infracciones Cometidas al Reglamento de Justicia Cívica y Cotidiana del municipio de Amealco de
Bonfil, Qro., causaran y pagaran en los términos que establezca la autoridad competente",,,10.00 a 100.00,,
Multa por incremento de Coeficiente de Utilización de Suelo (CUS) por metro cuadrado,,,1.00,,
"Multa por aviso extemporáneo de terminación de obra por licencia vencida, (hasta un máximo de 5
años, siempre y cuando la obra esté conforme al proyecto autorizado)",,,5.00 por año,,
Multa por retiro de sellos en obras suspendidas o clausuradas,,,30.00,,
