0,1,2,3
TIPO,,FRACCIONAMIENTOS O,
,,CONDOMINIOS,
Urbano,Residencial,,
,Habitacional popular,,
,De urbanización progresiva,,
,Institucionales,,
Campestre,Residencial,,
,Rústico,,
Industrial,Para industria ligera,,
,Para industria mediana,,
,Para industria pesada,,
Comercial,,,
Conjunto habitacional,Horizontal o vertical,,
