0,1,2,3,4,5
,CONCEPTO,,,IMPORTE,
CONTRIBUCIONES DE MEJORAS,,,"$1,200,000.00",,
Contribuciones de Mejoras por Obras Públicas,,,"$1,200,000.00",,
"CONTRIBUCIONES DE MEJORAS NO COMPRENDIDOS EN LA LEY DE INGRESOS VIGENTE, CAUSADOS
EN EJERCICIOS FISCALES ANTERIORES, PENDIENTES DE LIQUIDACIÓN O PAGO",,,$0.00,,
"Contribuciones de Mejoras no comprendidos en la Ley de Ingresos vigente, causados en ejercicios fiscales
anteriores, pendientes de liquidación o pago",,,$0.00,,
,Total de Contribuciones de Mejoras,,,"$1,200,000.00",
