0,1,2,3,4,5
,CLASIFICACIÓN,,,UMA,
"Agricultura, ganadería, aprovechamiento forestal, pesca y caza",,,4.00,,
Construcción,,,32.00,,
Industrias,,,116.00,,
Comercio al por mayor,,,22.00,,
Comercio al por menor,,,4.00,,
"Transportes, Correos y Almacenamientos",,,21.00,,
Servicios financieros y de seguros,,,De 25.00 a 75.00,,
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,,,16.00,,
Alquiler sin intermediación de salones para fiestas y convenciones,,,De 5.00 a 50.00,,
"Servicios profesionales, científicos y técnicos",,,18.00,,
Dirección de corporativos y empresas,,,18.00,,
Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación,,,16.00,,
Servicios Educativos,,,16.00,,
Servicios de salud y de asistencia social,,,22.00,,
Servicios de esparcimiento cultural y deportivo y otros servicios recreativos,,,16.00,,
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,,,26.00,,
Gasolineras,,,85.00,,
Hotel y motel de 1 a 20 habitaciones,,,33.00,,
Hotel y motel de 21 a 40 habitaciones,,,41.00,,
Hotel y motel de 41 a 60 habitaciones,,,58.00,,
Hotel y motel de 61 en adelante,,,75.00,,
Gaseras,,,50.00,,
Renta de cabañas,,,33.00,,
Guarderías,,,15.00,,
Servicios de Telecomunicación,,,25.00,,
"Agencia de viajes, touroperadoras, transporte turístico por tierra",,,10.00,,
Estacionamiento particular,,,10.00,,
