0,1
"Multa en caso de construcciones que edificadas en un desarrollo inmobiliario no cuenten con la licencia
de obras de urbanización del fraccionamiento o condominio, causará y pagará 0.20 UMA por M2
construido, además del costo por la licencia respectiva por regularización",0.20
"Multa por no cumplir con el porcentaje de área libre específica en reglamento y carta urbana del
Municipio, por M2 no cumplidos (COS)",2.00
"Multa por no cumplir con el porcentaje de área de absorción especifica en el reglamento y carta urbana
del Municipio, por m2 no cumplidos (CAS)",3.00
"Multa por ocupación, invasión y/o uso de la vía pública, áreas verdes o mobiliario urbano con material
de construcción con previa licencia, por lote",10.00
"Multa por colocación de gallardetes y/o pendones sobre mobiliario urbano, equipamiento, vía pública u
otros elementos urbanos sin autorización correspondiente, por unidad",1.00 a 10.00
Multa por porteo de bebidas alcohólicas sin licencia o autorización vigente,251.00 a 300.00
Multa por no contar con licencia de funcionamiento en establecimientos comerciales,1.00 a 200
Otras,1.00 a 2000
