0,1,2,3,4
,CONCEPTO,,,IMPORTE
Fondo de Aportaciones para la Infraestructura Social Municipal,,,"$140,047,710.00",
Fondo de Aportación para el Fortalecimiento de los Municipios y de las Demarcaciones Territoriales del Distrito Federal,,,"$62,575,221.00",
