0,1,2,3,4,5
CONCEPTO,,UMA,,,
,"0 HASTA 1.99
HAS.",,"2 HASTA 4.99
HAS.","5 HASTA 9.99
HAS.","DE 10 O MÁS
HAS."
Otros no especificados,66.00,,72.00,78.00,84.00
