0,1,2,3,4,5
,CONCEPTO,,,UMA,
"de nivel superior; Iglesias; Hospitales; Estaciones de Servicio o almacenamiento de
hidrocarburos (gasolina, diésel, gas LP, gas natural)",,,,,
Otros giros no descritos,,,7.00 a 20.00,,
