0,1,2,3,4,5
,CONCEPTO,,,IMPORTE,
APROVECHAMIENTOS,,,"$1,810,000.00",,
Aprovechamientos,,,"$1,810,000.00",,
Aprovechamientos Patrimoniales,,,$0.00,,
Accesorios de Aprovechamientos,,,$0.00,,
"APROVECHAMIENTOS NO COMPRENDIDOS EN LA LEY DE INGRESOS VIGENTE, CAUSADOS EN
EJERCICIOS FISCALES ANTERIORES, PENDIENTES DE LIQUIDACIÓN O PAGO",,,$0.00,,
"Aprovechamientos no comprendidos en la Ley de Ingresos vigente, causados en ejercicios fiscales anteriores,
pendientes de liquidación o pago",,,$0.00,,
,Total de Aprovechamientos,,,"$1,810,000.00",
